<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20201211,5.7,5.7,5.5,5.6,827000
ABC,20201211,17,18,17,17.8,31399
ABI,20201211,36,36,35.4,35.4,7730
ACV,20201211,76.1,78,76.1,77.9,381761
ADG,20201211,59.3,61,59,60.8,130690
AFX,20201211,12.4,12.5,12.2,12.4,117238
AGF,20201211,5.9,5.9,5.2,5.2,5516
AGP,20201211,14.6,14.6,14.5,14.6,4230
ALV,20201211,1.7,1.9,1.7,1.9,3600
AMS,20201211,9,9,9,9,15800
APF,20201211,37.5,38.2,37.4,38.2,2110
ASA,20201211,1.2,1.2,1.2,1.2,2000
ATA,20201211,0.2,0.3,0.2,0.3,190521
ATB,20201211,0.6,0.7,0.6,0.7,102500
AVC,20201211,26,26,26,26,1000
AVF,20201211,0.3,0.3,0.2,0.2,3404225
B82,20201211,0.4,0.6,0.4,0.6,700
BAB,20201211,17.9,17.9,17.9,17.9,2600
BBT,20201211,17.5,18,17,18,1720
BDG,20201211,51,51,46.9,49.9,19700
BDT,20201211,19.1,20,19.1,19.5,18500
BHP,20201211,5.1,6,5.1,6,800
BHT,20201211,5.2,5.2,5.2,5.2,300
BLI,20201211,7.9,8.4,7.9,8.4,5030
BMJ,20201211,28.5,28.5,28.3,28.3,2100
BOT,20201211,52.6,52.7,52.6,52.7,10100
BQB,20201211,5.4,5.4,5.4,5.4,100
BRR,20201211,11,11,11,11,5600
BSA,20201211,13,13,12.9,12.9,3308
BSG,20201211,10.2,10.2,10.2,10.2,100
BSH,20201211,24,24.5,24,24.5,200
BSL,20201211,9.6,9.6,9.6,9.6,10000
BSR,20201211,8.2,8.4,8.1,8.3,4038169
BT6,20201211,1.3,1.3,1.3,1.3,160
BTD,20201211,21.8,22.1,21.7,21.9,27701
BTN,20201211,2.6,2.6,2.6,2.6,210
BUD,20201211,6.8,6.8,6.8,6.8,100
BVB,20201211,13,13.2,12.9,13.1,1369272
BVG,20201211,1.8,1.9,1.8,1.9,53900
BWS,20201211,35.2,35.2,35.2,35.2,100
C12,20201211,2.5,2.5,2.5,2.5,500
C21,20201211,15,15,15,15,17
C22,20201211,14.8,14.8,14.8,14.8,100
C4G,20201211,9.7,10.4,9.6,10.1,1308580
C71,20201211,6.4,6.4,6.4,6.4,100
CAD,20201211,0.4,0.4,0.3,0.3,1844
CAT,20201211,13.9,13.9,13.8,13.8,1100
CC1,20201211,25.2,25.2,18.8,18.8,200
CCR,20201211,13.5,13.6,13.5,13.6,1000
