<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20201210,5.8,5.8,5.6,5.7,766313
ABC,20201210,17.3,17.4,17.1,17.1,43560
ABI,20201210,36.9,36.9,35.6,36.4,21531
ACE,20201210,28,31.4,28,28.5,1400
ACV,20201210,74.5,77.5,62.9,76.1,558753
ADG,20201210,59.6,59.8,59.1,59.2,72128
AFX,20201210,12.7,14.2,12.2,12.3,259600
AGP,20201210,14.6,14.7,14.5,14.6,8210
AMS,20201210,9,9,9,9,1000
APF,20201210,38,38.2,38,38.2,2800
ATB,20201210,0.7,0.7,0.6,0.6,2000
BAB,20201210,17.9,17.9,17.9,17.9,2400
BBT,20201210,18.9,18.9,18.9,18.9,100
BDG,20201210,48.5,52.5,48.5,51,44100
BDT,20201210,19,19.2,19,19.1,11000
BDW,20201210,12,12,12,12,100
BHP,20201210,5.6,5.6,5.6,5.6,10
BKH,20201210,26.7,26.7,26.7,26.7,100
BLI,20201210,7.9,7.9,7.5,7.8,13100
BMJ,20201210,28.5,28.5,28.3,28.3,17190
BOT,20201210,52.6,52.7,52.2,52.7,8000
BRR,20201210,11,11,11,11,9200
BSA,20201210,13,13,11.5,13,13003
BSG,20201210,8.9,8.9,8.9,8.9,100
BSQ,20201210,19,20,18.5,20,1400
BSR,20201210,8.1,8.4,8,8.1,7131723
BTD,20201210,21.2,21.9,21.2,21.7,8200
BVB,20201210,13.2,13.8,13.1,13.1,2300213
BVG,20201210,1.8,1.8,1.8,1.8,45900
BWS,20201210,35.2,35.2,35,35,1610
C21,20201210,15,15,15,15,20
C4G,20201210,10,10,9.5,9.7,939670
CAT,20201210,13.8,13.8,13.8,13.8,1000
CC1,20201210,22.1,22.1,22.1,22.1,100
CCM,20201210,39.8,45.4,39.8,45.4,200
CCR,20201210,13.5,13.5,13.5,13.5,5000
CDO,20201210,0.7,0.8,0.7,0.8,23100
CDP,20201210,11,11,10,10,300
CEN,20201210,6.8,7,6.8,6.8,23100
CHS,20201210,9.9,10,9.9,10,600
CI5,20201210,3.8,3.8,3.6,3.6,2300
CLX,20201210,16,17.3,15.4,17.2,446210
CMD,20201210,18.4,18.4,18,18,4400
CMN,20201210,44.5,52.4,44.5,52.4,300
CMT,20201210,7.3,7.3,7.3,7.3,100
CSI,20201210,14.1,14.1,14.1,14.1,100
CTR,20201210,58.2,58.4,57.2,57.9,1007082
DAC,20201210,3.2,3.2,3.2,3.2,100
DAP,20201210,41.1,41.1,41.1,41.1,100
DAR,20201210,9.2,9.2,9.2,9.2,100
DC1,20201210,9.5,9.9,9.5,9.9,400
DCR,20201210,2.5,2.5,2.5,2.5,100
DDN,20201210,10.9,11,10.6,10.6,3950
DDV,20201210,7,7,7,7,300
DID,20201210,2.8,2.8,2.8,2.8,100
DNE,20201210,9.3,10,9.3,10,900
DNH,20201210,28,28,28,28,200
